"Group.1","beetle","bird","bush.cricket","buzz","CF.FMd","CF.FMd.CF","cicada","FMd","FMd.QCF","FMu.CF.FMd","FMu.QCF","FMu.QCF.FMd","frog","grasshopper","ground.cricket","insect","moth","noise","other.mammal","QCF.FMd","MainMode","FreqM","FreqP","FreqC","Tstart","Tend","NbCris","DurMed","Dur90","Ampm50","Ampm90","AmpSMd","DiffME","SR","Ramp90","Order","Ind","SpMaxF2","Version","Filename","Commentaire","IdMan","temps_debut","temps_debut.1","espece","Group","probabilite","frequence","diff"
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212635_923",0.064,0.012,0.19,0.218,0,0,0.006,0.1,0.042,0.006,0,0,0.028,0.002,0,0.038,0.062,0.204,0.028,0,30,32,30,30,2.2,2.3,1,0,0,28.6,28.6,13,28.5,384000,-1.4,"N5",0.218,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212635_923.wav",NA,NA,0.8,5,"noise","noise",0.69,14,18
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212918_003",0.01,0.026,0.194,0.564,0.018,0.004,0.014,0.254,0.172,0.044,0.002,0.008,0.028,0.026,0.002,0.036,0.03,0.126,0.016,0.012,59.5,58,60,50.2,4.1,4.4,2,2,8,26.9,143.2,6,12.7,384000,-1.3,"N5",0.564,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212918_003.wav",NA,NA,0,5,"pippip","bat",0.74,64,6
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212923_003",0.042,0.004,0.028,0.484,0.01,0.002,0.004,0.348,0.108,0.038,0.002,0.002,0.004,0,0,0.008,0.008,0.198,0.002,0.004,66.7,64,66.8,61.5,4.1,4.3,3,1,2,62.7,83.3,24,62.3,384000,-1.4,"N9",0.484,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212923_003.wav",NA,NA,0,4.6,"pippip","bat",0.7,61,3
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212943_003",0.098,0.022,0.12,0.242,0.006,0,0,0.102,0.038,0.022,0.004,0.002,0.014,0,0.002,0.064,0.056,0.194,0.012,0.002,53.2,54,53.2,53.2,0.2,0.3,1,0,0,24.1,24.1,3,0,384000,0.7,"N7",0.242,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212943_003.wav",NA,NA,0.1,5,"noise","noise",0.91,30,24
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_213358_654",0.088,0.046,0.226,0.522,0.008,0.002,0.016,0.212,0.064,0.02,0.004,0.006,0.028,0.012,0.002,0.084,0.046,0.368,0.032,0.012,40.2,39,39.8,41.2,0.9,3.8,2,1,3,47.5,125.1,22,45.9,384000,-0.4,"N2",0.522,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200610_213358_654.wav",NA,NA,0,3.8,"leppun","bush-cricket",0.12,35,4
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_213545_806",0.026,0.032,0.112,0.174,0.014,0,0.002,0.12,0.07,0.104,0.004,0.006,0.036,0.01,0,0.04,0.052,0.164,0.026,0.008,67.5,68,67.5,68.2,4.8,4.9,1,0,0,27.1,27.1,9,22.3,384000,1,"N8",0.174,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200610_213545_806.wav",NA,NA,0.9,5,"noise","noise",0.65,32,36
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_213654_181",0.088,0.038,0.44,0.506,0.022,0.016,0.01,0.314,0.092,0.076,0.008,0.012,0.008,0.022,0.004,0.056,0.082,0.354,0.012,0.012,29.3,32,29.2,28.5,0.1,1,7,1,2,31.2,111.2,14,28.7,384000,-0.1,"N3",0.506,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200610_213654_181.wav",NA,NA,0,1.1,"noise","noise",0.67,40,8
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_213759_861",0.062,0.112,0.232,0.696,0.014,0.008,0.01,0.254,0.084,0.08,0.018,0.036,0.064,0.02,0.008,0.086,0.044,0.496,0.054,0.044,30,28,30,29.6,0.3,2.2,8,3,7,31.1,63.2,13,23.1,384000,-0.8,"N4",0.696,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200610_213759_861.wav",NA,NA,0.1,5,"noise","noise",0.93,28,0
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_213959_163",0.06,0.064,0.142,0.604,0.018,0.008,0.006,0.134,0.062,0.072,0.004,0.02,0.028,0.008,0,0.054,0.046,0.356,0.052,0.01,79.2,79,78.8,79.5,1.2,1.4,3,2,4,21.6,28.8,10,20.4,384000,0.6,"N8",0.604,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200610_213959_163.wav",NA,NA,0,5,"noise","noise",0.92,41,38
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_214009_163",0.074,0.014,0.074,0.354,0.014,0.004,0.002,0.168,0.04,0.05,0.004,0,0,0.004,0,0.024,0.068,0.104,0,0.002,44.3,39,44.2,48,0,0.1,1,2,2,43.4,43.4,20,0,384000,-1,"N1",0.354,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200610_214009_163.wav",NA,NA,0,0.2,"noise","noise",0.05,37,2
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_214505_007",0.05,0.024,0.102,0.384,0.008,0.002,0.01,0.064,0.034,0.008,0.004,0.002,0.012,0,0,0.082,0.046,0.154,0.012,0.002,69,67,69,71.2,0.4,0.5,1,1,1,46.9,46.9,18,34.2,384000,-0.7,"N11",0.384,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200610_214505_007.wav",NA,NA,0,4.7,"pippip","bat",0.98,54,13
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_214647_363",0.12,0.012,0.15,0.28,0.01,0,0.004,0.214,0.068,0.028,0.002,0.002,0.028,0,0,0.058,0.054,0.186,0.018,0.004,54.4,52,55.1,28.1,3.1,4.1,2,1,1,35,46.1,15,30.4,384000,-1,"N8",0.28,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200610_214647_363.wav",NA,NA,0,5,"pippip","bat",0.99,51,1
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_214659_469",0.002,0,0.004,0.474,0.004,0,0,0.294,0.456,0.02,0,0,0,0,0,0.006,0,0.008,0,0.004,55.6,62,57,51,4,4.2,2,9,10,101.8,122.1,46,99.7,384000,-1.3,"N9",0.474,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200610_214659_469.wav",NA,NA,0,5,"pippip","bat",0.98,56,6
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_215006_709",0.084,0.01,0.104,0.888,0.02,0.008,0.014,0.172,0.046,0.036,0.002,0.01,0.004,0.002,0,0.016,0.046,0.522,0.01,0.002,51.9,50,51.8,46.9,0.5,4.4,4,1,8,68.2,78.8,27,65.4,384000,-1.1,"N2",0.888,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200610_215006_709.wav",NA,NA,0.3,4.6,"pippip","bat",0.98,52,2
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_215517_227",0.046,0.042,0.196,0.682,0.02,0.002,0.016,0.17,0.068,0.146,0.026,0.026,0.018,0.006,0,0.028,0.062,0.324,0.036,0.046,79.3,80,80.2,81.8,4.7,4.9,6,0,1,36.2,56.9,13,28,384000,-1.8,"N5",0.682,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200610_215517_227.wav",NA,NA,0,5,"noise","noise",0.9,32,48
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_215646_413",0.066,0.048,0.22,0.91,0.02,0.002,0.024,0.436,0.086,0.052,0.012,0.036,0.062,0.008,0.008,0.058,0.046,0.566,0.048,0.034,36.5,38,36.8,36.8,1.1,4.4,5,0,1,33.7,50.6,14,30.2,384000,-0.3,"N2",0.91,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200610_215646_413.wav",NA,NA,0.2,5,"noise","noise",0.68,27,11
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_220035_767",0.012,0.006,0.024,0.876,0.028,0.004,0,0.45,0.72,0.034,0,0.006,0,0,0,0.012,0.008,0.108,0.006,0.016,55,52,54.8,50.2,4,4.4,5,1,20,66.4,212.4,24,59.3,384000,-0.9,"N2",0.876,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200610_220035_767.wav",NA,NA,0,5,"pippip","bat",0.99,52,0
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_220035_767",0.036,0.028,0.15,0.876,0.014,0.006,0.012,0.162,0.076,0.04,0.01,0.014,0.01,0.004,0.002,0.024,0.03,0.514,0.014,0.02,45,43,43.1,43.1,3.7,4.6,4,1,6,34.5,56.2,13,31.5,384000,-1.4,"N3",0.876,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200610_220035_767.wav",NA,NA,0,5,"pippip","bat",0.99,52,9
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_220114_979",0.034,0.024,0.176,0.346,0.016,0,0.008,0.286,0.074,0.072,0.004,0.01,0.006,0.004,0,0.032,0.034,0.202,0.018,0.008,22.5,25,22.5,22.1,2,2.2,1,2,3,54.2,60.8,24,42.8,384000,-0.7,"N4",0.346,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200610_220114_979.wav",NA,NA,0.5,2.7,"noise","noise",0.9,30,5
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_220337_073",0.056,0.068,0.158,0.38,0.012,0.004,0.01,0.102,0.054,0.052,0.012,0.006,0.02,0.002,0.002,0.05,0.036,0.336,0.038,0.004,44.2,43,44.2,37.9,2.7,2.8,1,2,3,52.2,80.3,23,49.4,384000,-0.8,"N4",0.38,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200610_220337_073.wav",NA,NA,0.1,3.1,"noise","noise",0.94,22,21
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_221338_421",0.056,0.024,0.098,0.226,0.008,0.002,0.006,0.116,0.076,0.06,0.002,0.002,0.01,0,0.002,0.04,0.022,0.224,0.018,0.008,21.8,22,21.8,0,0.6,0.7,1,2,2,37.5,37.5,18,34.8,384000,-1.4,"N4",0.226,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200610_221338_421.wav",NA,NA,0.5,4.8,"noise","noise",0.93,26,4
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_221445_202",0.036,0.084,0.102,0.352,0.016,0.008,0.004,0.138,0.098,0.042,0.006,0.004,0.016,0.004,0.022,0.044,0.03,0.254,0.026,0.022,44.6,43,44.6,19.9,1.4,4.4,1,3,4,34,53.4,15,33.9,384000,-0.7,"N4",0.352,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200610_221445_202.wav",NA,NA,0,4.5,"noise","noise",0.76,32,11
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_221600_717",0.024,0.008,0.078,0.676,0.012,0.002,0.006,0.146,0.048,0.088,0.002,0.018,0.004,0.004,0,0.032,0.026,0.124,0.008,0.004,51.9,52,52.5,49.5,1.4,3.6,3,1,2,22.9,33,9,20.3,384000,-2.7,"N3",0.676,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200610_221600_717.wav",NA,NA,0,4.9,"pippip","bat",0.99,50,2
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_221712_713",0.096,0.014,0.142,0.282,0.002,0,0.008,0.062,0.02,0.022,0,0.004,0.03,0,0,0.072,0.046,0.19,0.008,0.002,46.5,40,46.5,44.2,1.1,1.2,1,2,2,59.7,59.7,29,58.9,384000,-0.9,"N7",0.282,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200610_221712_713.wav",NA,NA,0,4.6,"noise","noise",0.8,31,9
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_221802_857",0.078,0.014,0.176,0.8,0.006,0.002,0.008,0.112,0.046,0.038,0.006,0.012,0.004,0.002,0,0.054,0.064,0.326,0.012,0.016,54.5,55,54.8,56.2,0.5,0.7,7,1,1,57.8,71.5,20,46.3,384000,-1.5,"N2",0.8,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200610_221802_857.wav",NA,NA,0,2.6,"pippyg","bat",0.99,61,6
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_222731_223",0.02,0,0.026,0.9,0.008,0,0.002,0.26,0.046,0.028,0,0,0.002,0,0,0.012,0.012,0.046,0,0.002,55,62,55.5,56.6,1.6,2.4,6,1,2,110.1,159.8,43,79.1,384000,-0.8,"N2",0.9,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200610_222731_223.wav",NA,NA,0.2,5,"pippyg","bat",0.98,62,0
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_222731_223",0.014,0,0.006,0.79,0.006,0,0,0.202,0.044,0.014,0,0,0.002,0,0.002,0.008,0.008,0.012,0,0.002,66.4,66,66.4,55.5,1.6,1.7,2,2,2,110.8,116.7,39,84.6,384000,-1.2,"N4",0.79,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200610_222731_223.wav",NA,NA,0.2,5,"pippyg","bat",0.98,62,4
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_222731_223",0.018,0.008,0.084,0.76,0.002,0,0.006,0.158,0.042,0.008,0,0.004,0.006,0.002,0,0.016,0.018,0.06,0.004,0.002,37.2,39,37.1,18.8,1.7,2.5,1,6,10,82.8,117.5,37,78.4,384000,-0.8,"N5",0.76,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200610_222731_223.wav",NA,NA,0.3,4.7,"noise","noise",0.69,38,1
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_222731_223",0.006,0,0.002,0.728,0.006,0,0.002,0.144,0.082,0.018,0,0,0,0,0,0.002,0,0.01,0,0,44.2,48,44.2,55.5,1.6,1.7,1,0,0,85.1,85.1,30,34.7,384000,-1.2,"N6",0.728,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200610_222731_223.wav",NA,NA,0.3,4.7,"noise","noise",0.69,38,10
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_223818_217",0.064,0.052,0.132,0.396,0.014,0.002,0.008,0.154,0.064,0.042,0,0.004,0.024,0.004,0.004,0.07,0.04,0.3,0.01,0.012,48,47,46.9,49.9,0.7,1.4,2,1,2,21.7,30.2,9,18.3,384000,-2.3,"N6",0.396,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200610_223818_217.wav",NA,NA,0,5,"noise","noise",0.92,32,15
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_224823_951",0.062,0.03,0.138,0.45,0.002,0.002,0.01,0.086,0.022,0.016,0.002,0.004,0.034,0.002,0,0.058,0.046,0.206,0.03,0.008,30.4,28,30.4,17.2,3.6,3.8,1,1,1,51.5,71.4,23,45.1,384000,-0.8,"N3",0.45,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200610_224823_951.wav",NA,NA,1.2,5,"noise","noise",0.89,12,16
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_225336_989",0.03,0.03,0.234,0.306,0.006,0.002,0.012,0.056,0.02,0.012,0.002,0.006,0.03,0.012,0.002,0.108,0.026,0.28,0.016,0.012,47.2,43,47.6,13.9,1.6,1.7,1,3,3,95,124.5,42,91.6,384000,0.4,"N7",0.306,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200610_225336_989.wav",NA,NA,0,5,"noise","noise",0.89,31,12
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_231413_800",0.052,0.014,0.116,0.272,0.004,0,0.016,0.126,0.076,0.008,0,0.004,0.024,0.002,0,0.038,0.032,0.202,0.01,0.004,36,36,36,35.2,1.4,1.5,1,0,0,26.3,26.3,9,21.5,384000,-0.8,"N3",0.272,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200610_231413_800.wav",NA,NA,0,1.6,"noise","noise",0.89,10,26
